SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:81, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f2:50:80, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:c2, RSSI: -87
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:c1, RSSI: -87
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:31, RSSI: -77
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:32, RSSI: -84
SSID: TUD-facility, BSSID: 1c:28:af:62:04:b2, RSSI: -66
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:b1, RSSI: -66
SSID: TUD-facility, BSSID: 1c:28:af:66:03:42, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:66:03:40, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:66:03:41, RSSI: -82
SSID: eduroam, BSSID: 1c:28:af:65:ec:30, RSSI: -77
SSID: eduroam, BSSID: d0:4d:c6:f3:02:50, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:02:51, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:52, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:62:04:b0, RSSI: -66
SSID: eduroam, BSSID: 1c:28:af:65:ec:20, RSSI: -64
SSID: eduroam, BSSID: 1c:28:af:65:fe:b0, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ec:21, RSSI: -63
SSID: eduroam, BSSID: 1c:28:af:62:b1:10, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:65:ec:22, RSSI: -63
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:11, RSSI: -89
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:12, RSSI: -89
SSID: tudelft-dastud, BSSID: 1c:28:af:62:04:a1, RSSI: -58
SSID: eduroam, BSSID: 1c:28:af:62:04:a0, RSSI: -59
SSID: TUD-facility, BSSID: 1c:28:af:62:04:a2, RSSI: -61
SSID: eduroam, BSSID: 1c:28:af:62:64:40, RSSI: -68
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:41, RSSI: -67
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -90
SSID: TUD-facility, BSSID: 1c:28:af:62:64:42, RSSI: -67
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -91
SSID: eduroam, BSSID: d0:4d:c6:f3:02:40, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:02:41, RSSI: -88
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -76
SSID: TUD-facility, BSSID: d0:4d:c6:f3:02:42, RSSI: -88
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -76
SSID: tudelft-dastud, BSSID: 1c:28:af:61:f9:01, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:61:f9:02, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -76
SSID: eduroam, BSSID: 1c:28:af:61:f9:00, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:61:e7:d2, RSSI: -91
SSID: TUD-facility, BSSID: d0:4d:c6:f3:15:c2, RSSI: -86
SSID: tudelft-dastud, BSSID: d0:4d:c6:f3:15:c1, RSSI: -86
SSID: eduroam, BSSID: d0:4d:c6:f3:15:c0, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -73
SSID: TUD-facility, BSSID: 1c:28:af:61:fc:42, RSSI: -84
SSID: tudelft-dastud, BSSID: 1c:28:af:65:ba:51, RSSI: -92
SSID: tudelft-dastud, BSSID: 1c:28:af:61:fc:41, RSSI: -85
SSID: eduroam, BSSID: 1c:28:af:65:ba:50, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -73
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -72
SSID: TUD-facility, BSSID: 1c:28:af:65:ba:52, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:61:fc:40, RSSI: -85
